iter	Passed	Remaining
511	3123	2976
512	3128	2970
513	3134	2963
514	3140	2957
515	3146	2951
516	3152	2945
517	3159	2939
518	3165	2934
519	3171	2927
520	3179	2922
521	3185	2916
522	3191	2910
523	3197	2904
524	3203	2898
525	3208	2891
526	3213	2884
527	3219	2877
528	3224	2870
529	3230	2864
530	3236	2858
531	3242	2852
532	3248	2846
533	3254	2840
534	3260	2834
535	3266	2827
536	3273	2822
537	3279	2816
538	3285	2810
539	3292	2804
540	3298	2798
541	3305	2793
542	3311	2787
543	3319	2782
544	3326	2776
545	3332	2770
546	3339	2765
547	3345	2759
548	3353	2755
549	3361	2750
550	3372	2748
551	3381	2744
552	3389	2739
553	3397	2734
554	3405	2730
555	3413	2726
556	3419	2719
557	3425	2713
558	3430	2706
559	3437	2700
560	3442	2693
561	3448	2687
562	3454	2681
563	3460	2675
564	3467	2669
565	3473	2663
566	3479	2656
567	3486	2651
568	3492	2645
569	3498	2639
570	3504	2632
571	3509	2625
572	3514	2619
573	3520	2612
574	3526	2606
575	3532	2600
576	3537	2593
577	3543	2586
578	3548	2580
579	3554	2573
580	3560	2567
581	3566	2561
582	3574	2556
583	3581	2551
584	3589	2546
585	3598	2542
586	3604	2536
587	3610	2529
588	3615	2522
589	3620	2516
590	3626	2509
591	3632	2503
592	3637	2496
593	3644	2490
594	3650	2484
595	3656	2478
596	3662	2472
597	3669	2466
598	3675	2460
599	3680	2453
600	3685	2447
601	3693	2441
602	3699	2435
603	3705	2429
604	3711	2422
605	3716	2416
606	3722	2410
607	3727	2403
608	3733	2396
609	3739	2391
610	3745	2384
611	3750	2377
612	3755	2371
613	3760	2364
614	3765	2357
615	3771	2351
616	3778	2345
617	3785	2339
618	3791	2333
619	3798	2328
620	3805	2322
621	3811	2316
622	3819	2311
623	3826	2305
624	3833	2300
625	3841	2295
626	3848	2289
627	3856	2284
628	3863	2278
629	3870	2273
630	3877	2267
631	3883	2261
632	3889	2255
633	3896	2249
634	3902	2243
635	3908	2236
636	3913	2230
637	3918	2223
638	3924	2217
639	3930	2210
640	3936	2204
641	3942	2198
642	3947	2191
643	3953	2185
644	3959	2179
645	3965	2172
646	3971	2166
647	3976	2160
648	3981	2153
649	3989	2148
650	3996	2142
651	4002	2136
652	4009	2130
653	4016	2124
654	4022	2118
655	4027	2112
656	4033	2105
657	4039	2099
658	4044	2092
659	4048	2085
660	4054	2079
661	4059	2072
662	4065	2066
663	4070	2059
664	4075	2053
665	4080	2046
666	4085	2039
667	4091	2033
668	4096	2026
669	4101	2019
670	4106	2013
671	4111	2006
672	4116	1999
673	4121	1993
674	4126	1986
675	4133	1980
676	4138	1974
677	4144	1968
678	4149	1961
679	4155	1955
680	4160	1949
681	4165	1942
682	4170	1935
683	4177	1929
684	4183	1923
685	4189	1917
686	4195	1911
687	4201	1905
688	4206	1898
689	4212	1892
690	4217	1885
691	4222	1879
692	4228	1873
693	4234	1866
694	4239	1860
695	4245	1854
696	4251	1848
697	4257	1842
698	4263	1835
699	4268	1829
700	4274	1823
701	4280	1816
702	4285	1810
703	4290	1803
704	4295	1797
705	4300	1790
706	4306	1784
707	4311	1778
708	4316	1771
709	4321	1765
710	4326	1758
711	4331	1752
712	4336	1745
713	4342	1739
714	4348	1733
715	4354	1727
716	4359	1720
717	4365	1714
718	4371	1708
719	4377	1702
720	4385	1697
721	4393	1691
722	4401	1686
723	4409	1680
724	4415	1675
725	4421	1668
726	4427	1662
727	4433	1656
728	4439	1650
729	4446	1644
730	4452	1638
731	4457	1631
732	4462	1625
733	4468	1619
734	4473	1613
735	4478	1606
736	4483	1600
737	4490	1594
738	4495	1587
739	4501	1581
740	4507	1575
741	4512	1569
742	4517	1562
743	4522	1556
744	4528	1549
745	4534	1543
746	4540	1537
747	4547	1531
748	4552	1525
749	4557	1519
750	4563	1512
751	4568	1506
752	4573	1500
753	4579	1493
754	4584	1487
755	4591	1481
756	4599	1476
757	4605	1470
758	4611	1464
759	4617	1458
760	4623	1452
761	4630	1446
762	4636	1440
763	4641	1433
764	4646	1427
765	4651	1421
766	4657	1414
767	4662	1408
768	4667	1402
769	4672	1395
770	4678	1389
771	4684	1383
772	4689	1377
773	4694	1370
774	4700	1364
775	4706	1358
776	4712	1352
777	4717	1346
778	4724	1340
779	4730	1334
780	4735	1327
781	4742	1322
782	4749	1316
783	4756	1310
784	4763	1304
785	4771	1299
786	4779	1293
787	4786	1287
788	4794	1282
789	4802	1276
790	4811	1271
791	4818	1265
792	4824	1259
793	4832	1253
794	4839	1247
795	4847	1242
796	4855	1236
797	4862	1230
798	4869	1224
799	4876	1219
800	4883	1213
801	4889	1207
802	4896	1201
803	4903	1195
804	4911	1189
805	4919	1184
806	4926	1178
807	4933	1172
808	4940	1166
809	4947	1160
810	4954	1154
811	4962	1148
812	4969	1143
813	4979	1137
814	4986	1131
815	4993	1126
816	5000	1120
817	5007	1114
818	5015	1108
819	5022	1102
820	5030	1096
821	5037	1090
822	5044	1084
823	5051	1079
824	5059	1073
825	5067	1067
826	5074	1061
827	5081	1055
828	5087	1049
829	5093	1043
830	5099	1037
831	5106	1031
832	5112	1024
833	5118	1018
834	5126	1013
835	5133	1006
836	5139	1000
837	5145	994
838	5151	988
839	5158	982
840	5165	976
841	5172	970
842	5178	964
843	5185	958
844	5191	952
845	5198	946
846	5204	940
847	5210	934
848	5217	927
849	5223	921
850	5228	915
851	5235	909
852	5243	903
853	5250	897
854	5258	891
855	5265	885
856	5273	879
857	5280	873
858	5287	867
859	5293	861
860	5300	855
861	5307	849
862	5314	843
863	5322	837
864	5329	831
865	5336	825
866	5343	819
867	5350	813
868	5358	807
869	5367	802
870	5374	796
871	5382	790
872	5390	784
873	5397	778
874	5402	771
875	5408	765
876	5414	759
877	5421	753
878	5427	747
879	5433	740
880	5438	734
881	5444	728
882	5451	722
883	5458	716
884	5464	710
885	5469	703
886	5476	697
887	5483	691
888	5489	685
889	5495	679
890	5501	673
891	5507	666
892	5513	660
893	5519	654
894	5526	648
895	5532	642
896	5540	636
897	5547	630
898	5556	624
899	5563	618
900	5570	612
901	5577	605
902	5583	599
903	5591	593
904	5597	587
905	5603	581
906	5609	575
907	5615	568
908	5622	562
909	5629	556
910	5635	550
911	5642	544
912	5649	538
913	5655	532
914	5662	526
915	5670	519
916	5678	514
917	5686	507
918	5692	501
919	5698	495
920	5704	489
921	5709	483
922	5715	476
923	5720	470
924	5725	464
925	5732	458
926	5738	451
927	5743	445
928	5750	439
929	5756	433
930	5762	427
931	5769	420
932	5775	414
933	5782	408
934	5789	402
935	5795	396
936	5801	390
937	5807	383
938	5813	377
939	5818	371
940	5824	365
941	5830	358
942	5836	352
943	5843	346
944	5850	340
945	5857	334
946	5864	328
947	5870	321
948	5876	315
949	5882	309
950	5887	303
951	5893	297
952	5898	290
953	5903	284
954	5908	278
955	5913	272
956	5918	265
957	5923	259
958	5929	253
959	5936	247
960	5942	241
961	5949	235
962	5956	228
963	5963	222
964	5970	216
965	5976	210
966	5981	204
967	5987	197
968	5992	191
969	5998	185
970	6003	179
971	6008	173
972	6013	166
973	6019	160
974	6025	154
975	6030	148
976	6036	142
977	6042	135
978	6047	129
979	6053	123
980	6059	117
981	6063	111
982	6068	104
983	6073	98
984	6078	92
985	6084	86
986	6089	80
987	6094	74
988	6099	67
989	6104	61
990	6110	55
991	6115	49
992	6120	43
993	6126	36
994	6132	30
995	6139	24
996	6146	18
997	6153	12
998	6160	6
999	6166	0
